Date,Time,Open,High,Low,Close,Volume,Open Interest
20160719,090700,8514.3,8514.3,8514.3,8514.3,0,0
20160719,090800,8514.3,8514.3,8514.3,8514.3,0,0
20160719,090900,8514.3,8514.3,8514.3,8514.3,0,0
20160719,091000,8514.3,8514.3,8514.3,8514.3,0,0
20160719,091100,8514.3,8514.3,8514.3,8514.3,0,0
20160719,091200,8514.3,8514.3,8514.3,8514.3,0,0
20160719,091300,8514.3,8514.3,8514.3,8514.3,0,0
20160719,091400,8514.3,8514.3,8514.3,8514.3,0,0
20160719,091500,8507.65,8522.7,8505.7,8521.1,1469335,0
20160719,091600,8520.25,8522.75,8517.1,8522.2,1113736,0
20160719,091700,8522.2,8525.95,8522.2,8525.35,603570,0
20160719,091800,8525.2,8525.2,8520.25,8521.45,791009,0
20160719,091900,8521.35,8521.4,8515.95,8516.15,997082,0
20160719,092000,8515.8,8517.35,8514,8517.35,610176,0
20160719,092100,8516.95,8518.65,8509.55,8509.55,808367,0
20160719,092200,8509.2,8509.6,8505.25,8505.45,730124,0
20160719,092300,8505.7,8507.6,8505.05,8505.7,741934,0
20160719,092400,8506.85,8511.15,8506.3,8511.15,318412,0
20160719,092500,8515.45,8519.5,8515.45,8517.1,1050671,0
20160719,092600,8517.05,8517.9,8515.6,8515.9,513832,0
20160719,092700,8515.45,8520.9,8515.45,8519.3,570545,0
20160719,092800,8519.4,8520.65,8518.75,8519.45,573265,0
20160719,092900,8519.15,8523.35,8519.15,8522.45,422334,0
20160719,093000,8522.15,8522.95,8517.95,8518.3,620149,0
20160719,093100,8517.75,8518.3,8512.15,8512.15,849080,0
20160719,093200,8511.85,8512.35,8498,8498.05,709318,0
20160719,093300,8497.65,8505.75,8496.5,8500.65,745184,0
20160719,093400,8500.35,8500.35,8494.9,8498.1,412116,0
20160719,093500,8497.85,8502.55,8496.15,8501.85,927412,0
20160719,093600,8502.1,8502.1,8498.7,8499.25,629105,0
20160719,093700,8499.55,8499.55,8493.65,8494.05,0,0
20160719,093800,8494.05,8498.6,8493.9,8498,894546,0
20160719,093900,8498,8498.05,8494.45,8496.05,215342,0
20160719,094000,8496.55,8500.35,8496.4,8500.35,527907,0
20160719,094100,8500.3,8502.75,8499.65,8502.75,0,0
20160719,094200,8502.9,8506.05,8502.75,8505.5,879850,0
20160719,094300,8505.45,8507.55,8505.45,8506.8,354350,0
